actual_day,bottle,treatment,vs_in,vs_s,vs_fed,daily_biogas,methane_v_frac,daily_methane,cumu_methane
12,6,I+RS (ISR: 2),5,2.5,7.5,0.23625695213074493,0.844184842,0.19944453780589447,9.725072228997773
13,6,I+RS (ISR: 2),5,2.5,7.5,0.3631338555728938,0.843051256,0.3061404530368507,10.031212682034623
14,6,I+RS (ISR: 2),5,2.5,7.5,1.9897681411096713,0.84191767,1.6752209572032855,11.706433639237908
15,6,I+RS (ISR: 2),5,2.5,7.5,0.27501570096737993,0.8439509126666667,0.23209975182908338,11.938533391066992
16,6,I+RS (ISR: 2),5,2.5,7.5,0.3812434563200604,0.8459841553333333,0.3225259233712868,12.26105931443828
17,6,I+RS (ISR: 2),5,2.5,7.5,0.6153471843869198,0.848017398,0.521825118170422,12.782884432608702
18,6,I+RS (ISR: 2),5,2.5,7.5,0.41327114098431394,0.84899114375,0.3508635386631402,13.133747971271841
19,6,I+RS (ISR: 2),5,2.5,7.5,0.34645139565159866,0.8499648895,0.29447152222213185,13.428219493493973
20,6,I+RS (ISR: 2),5,2.5,7.5,0.31141820853684266,0.85093863525,0.2649977853643408,13.693217278858313
21,6,I+RS (ISR: 2),5,2.5,7.5,0.37326301781782334,0.851912381,0.3179873862484273,14.01120466510674
22,6,I+RS (ISR: 2),5,2.5,7.5,0.7510557417782486,0.851912381,0.639833685242029,14.65103835034877
23,6,I+RS (ISR: 2),5,2.5,7.5,0.15158802363338353,0.851912381,0.12913971414460004,14.78017806449337
24,6,I+RS (ISR: 2),5,2.5,7.5,-0.8018389795444136,0.851912381,0,14.78017806449337
25,6,I+RS (ISR: 2),5,2.5,7.5,0.07156365381576535,0.851912381,0.060965962715248394,14.84114402720862
26,6,I+RS (ISR: 2),5,2.5,7.5,-0.08640400463446696,0.851912381,0,14.84114402720862
27,6,I+RS (ISR: 2),5,2.5,7.5,0.18115132175191917,0.851912381,0.15432505383497455,14.995469081043593
28,6,I+RS (ISR: 2),5,2.5,7.5,-0.10218628355827164,0.851912381,0,14.995469081043593
1,7,I+SS,4.9,2.5,7.5,18.292880077750603,0.4831144275,8.837554286088638,8.837554286088638
2,7,I+SS,4.9,2.5,7.5,8.12496889706959,0.966228855,7.850579394326162,16.6881336804148
3,7,I+SS,4.9,2.5,7.5,2.3046614171247874,0.9676769645000001,2.230167764323583,18.918301444738383
4,7,I+SS,4.9,2.5,7.5,0.8483717391980221,0.969125074,0.8221783245297919,19.740479769268173
5,7,I+SS,4.9,2.5,7.5,0.4456262355092022,0.9731057710000001,0.4336414614830098,20.174121230751183
6,7,I+SS,4.9,2.5,7.5,0.10415353518707349,0.977086468,0.10176700982565134,20.275888240576833
7,7,I+SS,4.9,2.5,7.5,0.4390067754121212,0.981067165,0.4306951325693614,20.706583373146195
8,7,I+SS,4.9,2.5,7.5,0.40547596250390683,0.978358876,0.39670100692034044,21.103284380066537
9,7,I+SS,4.9,2.5,7.5,0.008276973466855964,0.975650587,0.008075434021521445,21.111359814088058
10,7,I+SS,4.9,2.5,7.5,-0.2017666856925473,0.972942298,0,21.111359814088058
11,7,I+SS,4.9,2.5,7.5,0.08668492303785413,0.9740418077499999,0.08443473914046105,21.19579455322852
12,7,I+SS,4.9,2.5,7.5,-0.17151581033318308,0.9751413175,0,21.19579455322852
13,7,I+SS,4.9,2.5,7.5,-0.09866365983650738,0.97624082725,0,21.19579455322852
14,7,I+SS,4.9,2.5,7.5,-1.1363949768302,0.977340337,0,21.19579455322852
15,7,I+SS,4.9,2.5,7.5,0.8013729319273395,0.976647905,0.7826591950905437,21.978453748319065
16,7,I+SS,4.9,2.5,7.5,-0.35727431065329185,0.9759554730000001,0,21.978453748319065
17,7,I+SS,4.9,2.5,7.5,-0.18663934742244237,0.975263041,0,21.978453748319065
18,7,I+SS,4.9,2.5,7.5,-0.1447057853912419,0.9737288147500001,0,21.978453748319065
19,7,I+SS,4.9,2.5,7.5,-0.3772342239121542,0.9721945885000001,0,21.978453748319065
20,7,I+SS,4.9,2.5,7.5,-0.37208724449562425,0.97066036225,0,21.978453748319065
21,7,I+SS,4.9,2.5,7.5,-0.6644766624666438,0.969126136,0,21.978453748319065
22,7,I+SS,4.9,2.5,7.5,-0.36595966164795257,0.969126136,0,21.978453748319065
23,7,I+SS,4.9,2.5,7.5,-0.509613570301962,0.969126136,0,21.978453748319065
24,7,I+SS,4.9,2.5,7.5,-0.5132268966790186,0.969126136,0,21.978453748319065
25,7,I+SS,4.9,2.5,7.5,-0.47878226674766466,0.969126136,0,21.978453748319065
26,7,I+SS,4.9,2.5,7.5,-0.5108562995354653,0.969126136,0,21.978453748319065
27,7,I+SS,4.9,2.5,7.5,-0.3194657700553414,0.969126136,0,21.978453748319065
28,7,I+SS,4.9,2.5,7.5,-0.3545996168005239,0.969126136,0,21.978453748319065
1,8,I+SS,4.9,2.5,7.4,-0.9969605474075837,0.4831144275,0,0
2,8,I+SS,4.9,2.5,7.4,6.626636162940575,0.966228855,6.402847072219665,6.402847072219665
3,8,I+SS,4.9,2.5,7.4,2.6081041079719514,0.9676769645000001,2.5238022663022783,8.926649338521944
4,8,I+SS,4.9,2.5,7.4,2.0396622403528415,0.969125074,1.9766878196169533,10.903337158138898
5,8,I+SS,4.9,2.5,7.4,0.5916222416892243,0.9731057710000001,0.575711017639741,11.479048175778638
6,8,I+SS,4.9,2.5,7.4,0.4730798697455949,0.977086468,0.46223993901162336,11.941288114790261
7,8,I+SS,4.9,2.5,7.4,-0.2534696227559703,0.981067165,0,11.941288114790261
8,8,I+SS,4.9,2.5,7.4,0.41822059973974035,0.978358876,0.40916983588141825,12.350457950671679
9,8,I+SS,4.9,2.5,7.4,0.15152707686604572,0.975650587,0.14783748149075163,12.498295432162431
10,8,I+SS,4.9,2.5,7.4,0.9338430552928099,0.972942298,0.9085754081879275,13.406870840350358
11,8,I+SS,4.9,2.5,7.4,0.22338036867529354,0.9740418077499999,0.21758181812034438,13.624452658470702
12,8,I+SS,4.9,2.5,7.4,-0.04352117028630964,0.9751413175,0,13.624452658470702
13,8,I+SS,4.9,2.5,7.4,0.002404962319648263,0.97624082725,0.002347822404438499,13.62680048087514
14,8,I+SS,4.9,2.5,7.4,-0.43504207119332783,0.977340337,0,13.62680048087514
15,8,I+SS,4.9,2.5,7.4,0.6734393854057021,0.976647905,0.6577131649009665,14.284513645776107
16,8,I+SS,4.9,2.5,7.4,-0.09522558242156443,0.9759554730000001,0,14.284513645776107
17,8,I+SS,4.9,2.5,7.4,0.1687125814065915,0.975263041,0.1645391451975525,14.44905279097366
18,8,I+SS,4.9,2.5,7.4,-0.01629778591079578,0.9737288147500001,0,14.44905279097366
19,8,I+SS,4.9,2.5,7.4,-0.38238677668609,0.9721945885000001,0,14.44905279097366
20,8,I+SS,4.9,2.5,7.4,-0.1445986314646035,0.97066036225,0,14.44905279097366
21,8,I+SS,4.9,2.5,7.4,-0.7980451871507288,0.969126136,0,14.44905279097366
22,8,I+SS,4.9,2.5,7.4,-0.3474473617223026,0.969126136,0,14.44905279097366
23,8,I+SS,4.9,2.5,7.4,-0.28476431933686186,0.969126136,0,14.44905279097366
24,8,I+SS,4.9,2.5,7.4,-0.2857268844279357,0.969126136,0,14.44905279097366
25,8,I+SS,4.9,2.5,7.4,-0.34991818991559853,0.969126136,0,14.44905279097366
26,8,I+SS,4.9,2.5,7.4,-0.2934095052573973,0.969126136,0,14.44905279097366
27,8,I+SS,4.9,2.5,7.4,-0.22770678188227933,0.969126136,0,14.44905279097366
28,8,I+SS,4.9,2.5,7.4,-0.09793967544050908,0.969126136,0,14.44905279097366
1,9,I+SS,4.9,2.5,7.4,20.149181283297473,0.4831144275,9.734360180273974,9.734360180273974
2,9,I+SS,4.9,2.5,7.4,7.883711723955425,0.966228855,7.617469752187526,17.3518299324615
3,9,I+SS,4.9,2.5,7.4,3.4283533482243946,0.9676769645000001,3.317538561243194,20.66936849370469
4,9,I+SS,4.9,2.5,7.4,1.127963806037819,0.969125074,1.093138006995723,21.762506500700415
5,9,I+SS,4.9,2.5,7.4,0.37893602584532005,0.9731057710000001,0.36874483358988613,22.1312513342903
6,9,I+SS,4.9,2.5,7.4,0.27738101085033406,0.977086468,0.27102523218202257,22.402276566472324
7,9,I+SS,4.9,2.5,7.4,-0.5539683710546228,0.981067165,0,22.402276566472324
8,9,I+SS,4.9,2.5,7.4,0.1516864622219387,0.978358876,0.14840379668387244,22.550680363156197
9,9,I+SS,4.9,2.5,7.4,0.7239712776490919,0.975650587,0.7063430020094764,23.257023365165672
10,9,I+SS,4.9,2.5,7.4,-0.19487360504133022,0.972942298,0,23.257023365165672
11,9,I+SS,4.9,2.5,7.4,0.0715965765087958,0.9740418077499999,0.06973805881133864,23.32676142397701
12,9,I+SS,4.9,2.5,7.4,-0.1730352509252171,0.9751413175,0,23.32676142397701
13,9,I+SS,4.9,2.5,7.4,-0.33760141094940366,0.97624082725,0,23.32676142397701
14,9,I+SS,4.9,2.5,7.4,-1.3647012627158048,0.977340337,0,23.32676142397701
